PhraseId	SentenceId	Phrase	Sentiment
1	1	free online courses certificates earn updated	0
2	1	comprehensive guide compiled list best free online courses certificates pursue leisure today world receiving good quality education become much easier quicker ever	0
3	1	thanks evolution world wide web many universities shifted conventional way teaching online teaching incredible success online education become common students started attending regular teaching classes pcs laptops	0
4	1	leveraging technology web video conferencing effectiveness class interaction student collaboration become nearly equal physically especially students jobs find time go colleges regularly become popular way earning degrees	0
5	1	list free online courses certificates	0
6	1	taken one step share courses certifications completely free many paid courses available internet almost topic think finding ones free hectic task exactly right make sure get free online courses good paid ones divided courses categories according different areas study including	0
7	1	information technology	0
8	1	engineering	0
9	1	accounting finance	0
10	1	human resources hr	0
11	1	medical sciences	0
12	1	bonus courses	0
13	1	brief descriptions every course details enroll get started	0
14	1	information technology	0
15	1	introduction computer science	0
16	1	prerequisites none	0
17	1	free certificate	0
18	1	course creator harvard university	0
19	1	entry level course perrequisites teach fundamentals computer science basic knowledge programming want become software developer web developer course must course cover topics including algorithms basic data structures object oriented programming also consist assignments projects click enroll	0
20	1	developing android apps new android fundamentals	0
21	1	prerequisites year programming experience object oriented programming language	0
22	1	free certificate	0
23	1	course creator google	0
24	1	intermediate level course teaches basic android development advanced intermediate level programming java stepbystep course working instructor develop cloud based android application course also teach best practices mobile development course involved video lectures along interactive quizzes	0
25	1	online python course mit	0
26	1	prerequisites none	0
27	1	free certificate	0
28	1	course creator mit	0
29	1	want learn python scratch earn free certificate along way brilliant course mit fulfill dream course aimed give introductory experience python prepare advanced courses course teach basics python programming language installation configuration basic programming functions object oriented programming file handling drop positive feedback instructor like course click enroll	0
30	1	web development mobile development courses bitdegree	0
31	1	prerequisites none	0
32	1	free certificate yes	0
33	1	course creator bitdegree	0
34	1	bitdegree offers wide range related online courses suitable beginners advanced coders exceptional courses get free certificate completion finishing course act proof knowledge newly gained skills besides general video courses also choose enroll gamified coding courses interactively combines theoretical practical parts learning click enroll	0
35	1	microsoft azure virtual bootcamp	0
36	1	prerequisites none	0
37	1	free certificate yes	0
38	1	course creator catapult systems	0
